id,kode,nama,path,factory,perm_name,disabled,created,updated,create_uid
1,"home","Beranda","/",,"''",0,"2015-03-08 16:45:45",,1
2,"login","Masuk","/login",,"''",0,"2015-03-08 16:45:45",,1
3,"logout","Logout","/logout",,"view",0,"2015-03-08 16:45:45",,1
4,"password","Ubah password","/password",,"edit",0,"2015-03-08 16:45:45",,1
5,"forbidden","Forbidden","/forbidden",,"view",0,"2015-03-08 16:45:45",,1
7,"user","Users","/user",,"view",0,"2015-03-08 16:45:45",,1
8,"user-act","Baca User ","/user/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
9,"user-add","Tambah user","/user/add",,"add",0,"2015-03-08 16:45:45",,1
10,"user-edit","Edit user","/user/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
11,"user-delete","Hapus user","/user/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
12,"group","Group","/group",,"read",0,"2015-03-08 16:45:45",,1
13,"group-add","Tambah Group","/group/add",,"add",0,"2015-03-08 16:45:45",,1
14,"group-act","Baca Group","/group/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
15,"group-edit","Edit Group","/group/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
16,"group-delete","Hapus Group","/group/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
17,"pkb","List Pajak Kendaraan Bermotor","/pkb",,"read",0,"2015-03-08 16:45:45",,1
18,"pkb-add","Pajak Kendaraan Bermotor","/pkb/add",,"add",0,"2015-03-08 16:45:45",,1
19,"pap","List Pajak Air Permukaan","/pap",,"read",0,"2015-03-08 16:45:45",,1
20,"pap-add","Pajak Air Permukaan","/pap/add",,"add",0,"2015-03-08 16:45:45",,1
26,"rekening","Kode Rekening","/rekening",,"read",0,"2015-03-08 16:45:45",,1
27,"rekening-act","Baca Kode Rekening","/rekening/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
28,"rekening-add","Tambah Kode Rekening","/rekening/add",,"add",0,"2015-03-08 16:45:45",,1
29,"rekening-edit","Edit Kode Rekening","/rekening/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
40,"rekening-delete","Hapus Kode Rekening","/rekening/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
41,"skpd","Unit Kerja/OPD","/skpd",,"read",0,"2015-03-08 16:45:45",,1
42,"skpd-act","Baca Unit Kerja/OPD","/skpd/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
43,"skpd-add","Tambah Unit Kerja/OPD","/skpd/add",,"add",0,"2015-03-08 16:45:45",,1
44,"skpd-edit","Edit Unit Kerja/OPD","/skpd/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
45,"skpd-delete","Hapus Unit Kerja/OPD","/skpd/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
46,"jabatan","Jabatan","/jabatan",,"read",0,"2015-03-08 16:45:45",,1
47,"jabatan-act","Baca Jabatan","/jabatan/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
48,"jabatan-add","Tambah Jabatan","/jabatan/add",,"add",0,"2015-03-08 16:45:45",,1
49,"jabatan-edit","Edit Jabatan","/jabatan/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
50,"jabatan-delete","Hapus Jabatan","/jabatan/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
51,"pegawai","Pegawai","/pegawai",,"read",0,"2015-03-08 16:45:45",,1
52,"pegawai-act","Baca Pegawai","/pegawai/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
53,"pegawai-add","Tambah Pegawai","/pegawai/add",,"add",0,"2015-03-08 16:45:45",,1
54,"pegawai-edit","Edit Pegawai","/pegawai/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
55,"pegawai-delete","Hapus Pegawai","/pegawai/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
56,"pajak","Tarif","/pajak",,"read",0,"2015-03-08 16:45:45",,1
57,"pajak-act","Baca Tarif","/pajak/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
58,"pajak-add","Tambah Tarif","/pajak/add",,"add",0,"2015-03-08 16:45:45",,1
59,"pajak-edit","Edit Tarif","/pajak/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
60,"pajak-delete","Hapus Tarif","/pajak/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
61,"wilayah","Wilayah","/wilayah",,"read",0,"2015-03-08 16:45:45",,1
62,"wilayah-act","Baca Wilayah","/wilayah/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
63,"wilayah-add","Tambah Wilayah","/wilayah/add",,"add",0,"2015-03-08 16:45:45",,1
64,"wilayah-edit","Edit Wilayah","/wilayah/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
65,"wp","Penyetor","/wp",,"read",0,"2015-03-08 16:45:45",,1
66,"wp-act","Baca Penyetor","/wp/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
67,"wp-add","Tambah Penyetor","/wp/add",,"add",0,"2015-03-08 16:45:45",,1
68,"wp-edit","Edit Penyetor","/wp/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
69,"wp-delete","Hapus Penyetor","/wp/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
70,"op","Objek","/op",,"read",0,"2015-03-08 16:45:45",,1
71,"op-act","Baca Objek","/op/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
72,"op-add","Tambah Objek","/op/add",,"add",0,"2015-03-08 16:45:45",,1
73,"op-edit","Edit Objek","/op/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
74,"op-delete","Hapus Objek","/op/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
75,"arinvoice","Reg. Bayar","/arinvoice",,"read",0,"2015-03-08 16:45:45",,1
76,"arinvoice-act","Register Action","/arinvoice/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
77,"arinvoice-add","Tambah Reg. Bayar","/arinvoice/add",,"add",0,"2015-03-08 16:45:45",,1
78,"arinvoice-edit","Edit Reg. Bayar","/arinvoice/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
79,"arinvoice-delete","Hapus Reg. Bayar","/arinvoice/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
80,"arsspd","Penerimaan","/arsspd",,"read",0,"2015-03-08 16:45:45",,1
81,"arsspd-act","Baca SSPD","/arsspd/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
82,"arsspd-add","Tambah Penerimaan","/arsspd/add",,"add",0,"2015-03-08 16:45:45",,1
83,"arsspd-edit","Edit Penerimaaan","/arsspd/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
84,"arsspd-delete","Hapus Penerimaan","/arsspd/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
85,"wilayah-delete","Hapus Wilayah","/wilayah/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
86,"usergroup","User Group","/usergroup",,"read",0,"2015-03-08 16:45:45",,1
87,"usergroup-act","User Group Action","/usergroup/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
88,"usergroup-add","Tambah User Group","/usergroup/add",,"add",0,"2015-03-08 16:45:45",,1
89,"usergroup-delete","Hapus User Group","/usergroup/{id}/{id2}/delete",,"delete",0,"2015-03-08 16:45:45",,1
90,"groupperm","Group Permission","/groupperm",,"read",0,"2015-03-08 16:45:45",,1
91,"groupperm-act","Group Permission Action","/groupperm/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
92,"groupperm-add","Tambah Group Permission","/groupperm/add",,"add",0,"2015-03-08 16:45:45",,1
93,"groupperm-delete","Hapus Group Permission","/groupperm/{id}/{id2}/delete",,"delete",0,"2015-03-08 16:45:45",,1
94,"arsts","Setoran","/arsts",,"read",0,"2015-03-08 16:45:45",,1
95,"arsts-act","Setoran Action","/arsts/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
96,"arsts-add","Tambah Setoran","/arsts/add",,"add",0,"2015-03-08 16:45:45",,1
97,"arsts-edit","Edit Setoran","/arsts/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
98,"arsts-delete","Hapus Setoran","/arsts/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
99,"arstsitem","Setoran Detail","/arstsitem",,"read",0,"2015-03-08 16:45:45",,1
100,"arstsitem-act","Setoran Detail Action","/arstsitem/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
101,"arstsitem-add","Tambah Setoran Detail","/arstsitem/{id}/add",,"add",0,"2015-03-08 16:45:45",,1
102,"arstsitem-edit","Edit Setoran Detail","/arstsitem/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
103,"arstsitem-delete","Hapus Setoran Detail","/arstsitem/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
104,"arstsitem-list","Tambah Setoran Detail","/arstsitem/{id}/list",,"add",0,"2015-03-08 16:45:45",,1
105,"reports_act","Report Action","/reports/act/{act}",,"read",0,"2015-03-08 16:45:45",,1
106,"arinvoice-edt-unit","ARInvoice Ubah Unit","/arinvoice/edt/unit",,"arinvoice_unit",0,"2015-03-08 16:45:45",,1
107,"arinvoice-edt-subjek","ARInvoice Ubah Subjek","/arinvoice/edt/subjek",,"arinvoice_subjek",0,"2015-03-08 16:45:45",,1
108,"pkb-edit","Jawaban E-Samsat","/pkb/{nr}/{nk}/{em}/{nh}/{cd}/{ct}/add",,"view",0,"2015-03-08 16:45:45",,1
109,"pap-edit","Jawaban E-PAP","/pap/{nr}/{nk}/{em}/add",,"view",0,"2015-03-08 16:45:45",,1
110,"user-unit","User OPD","/user-unit",,"read",0,"2015-03-08 16:45:45",,1
111,"user-unit-act","User OPD Act","/user-unit/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
112,"user-unit-add","Tambah User OPD","/user-unit/add",,"add",0,"2015-03-08 16:45:45",,1
113,"user-unit-delete","Hapus User OPD","/user-unit/{id}/{id2}/delete",,"delete",0,"2015-03-08 16:45:45",,1
114,"arinvoiceb","Reg. Bayar Bendahara","/arinvoiceb",,"read",0,"2015-03-08 16:45:45",,1
115,"arinvoiceb-act","Register Bendahara Action","/arinvoiceb/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
116,"arinvoiceb-add","Tambah Reg. Bayar Bendahara","/arinvoiceb/add",,"add",0,"2015-03-08 16:45:45",,1
117,"arinvoiceb-edit","Edit Reg. Bayar Bendahara","/arinvoiceb/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
118,"arinvoicewp","Reg. Bayar WP","/arinvoicewp",,"read",0,"2015-03-08 16:45:45",,1
119,"arinvoicewp-act","Register WP Action","/arinvoicewp/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
120,"arinvoicewp-add","Tambah Reg. Bayar WP","/arinvoicewp/add",,"add",0,"2015-03-08 16:45:45",,1
121,"arinvoicewp-edit","Edit Reg. Bayar WP","/arinvoicewp/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
122,"arinvoiceb-delete","Hapus Reg. Bayar Bendahara","/arinvoiceb/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
123,"arinvoicewp-delete","Hapus Reg. Bayar WP","/arinvoicewp/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
124,"rekon-esamsat","Rekon e-Samsat","/rekon-esamsat",,"read",0,"2015-03-08 16:45:45",,1
125,"rekon-esamsat-act","Baca Rekon e-Samsat","/rekon-esamsat/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
126,"rekon-esamsat-edit","Edit Rekon e-Samsat","/rekon-esamsat/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
127,"rekon-esamsat-delete","Hapus Rekon e-Samsat","/rekon-esamsat/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
128,"rekon-epap","Rekon e-PAP","/rekon-epap",,"read",0,"2015-03-08 16:45:45",,1
129,"rekon-epap-act","Baca Rekon e-PAP","/rekon-epap/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
130,"rekon-epap-edit","Edit Rekon e-PAP","/rekon-epap/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
131,"rekon-epap-delete","Hapus Rekon e-PAP","/rekon-epap/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
132,"fast-pay","Fast Register","/fast-pay",,"read",0,"2015-03-08 16:45:45",,1
133,"fast-pay-act","Baca Fast Register","/fast-pay/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
134,"fast-pay-add","Tambah Fast Register","/fast-pay/add",,"add",0,"2015-03-08 16:45:45",,1
135,"fast-pay-edit","Edit Fast Register","/fast-pay/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
136,"fast-pay-delete","Hapus Fast Register","/fast-pay/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
137,"rekening-unit","Rekening OPD","/rekening-unit",,"read",0,"2015-03-08 16:45:45",,1
138,"rekening-unit-act","Baca Rekening OPD","/rekening-unit/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
139,"rekening-unit-add","Tambah Rekening OPD","/rekening-unit/add",,"add",0,"2015-03-08 16:45:45",,1
140,"rekening-unit-delete","Hapus Rekening OPD","/rekening-unit/{id}/{id2}/delete",,"delete",0,"2015-03-08 16:45:45",,1
141,"jns-pajak","Jenis Pajak","/jns/pajak",,"read",0,"2015-03-08 16:45:45",,1
142,"jns-pajak-act","Baca Jenis Pajak","/jns/pajak/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
143,"jns-pajak-add","Tambah Jenis Pajak","/jns/pajak/add",,"add",0,"2015-03-08 16:45:45",,1
144,"jns-pajak-edit","Edit Jenis Pajak","/jns/pajak/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
145,"jns-pajak-delete","Hapus Jenis Pajak","/jns/pajak/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
146,"artbp","TBP","/artbp",,"read",0,"2015-03-08 16:45:45",,1
147,"artbp-act","TBP Baca","/artbp/{act}/act",,"read",0,"2015-03-08 16:45:45",,1
148,"artbp-add","TBP Tambah","/artbp/add",,"add",0,"2015-03-08 16:45:45",,1
149,"artbp-edit","TBP Edit","/artbp/{id}/edit",,"edit",0,"2015-03-08 16:45:45",,1
150,"artbp-delete","Hapus TBP","/artbp/{id}/delete",,"delete",0,"2015-03-08 16:45:45",,1
151,"artbp-csv","CSV TBP","/artbp/{csv}/csv",,"read",0,"2015-03-08 16:45:45",,1
152,"artbp-pdf","PDF TBP","/artbp/{pdf}/pdf",,"read",0,"2015-03-08 16:45:45",,1